ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/8/2016,7/11/2016,3,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,7/15/2016,7/17/2016,2,1
Caribou Munroes,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/13/2016,8/14/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/12/2016,9/13/2016,1,1
Amherst Shore,BC ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/29/2016,7/31/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,9/2/2016,9/5/2016,3,1
Porters Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/20/2016,8/21/2016,1,1
Thomas Raddall,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/30/2016,9/2/2016,3,1
Dollar Lake,NS ,CANADA ,4,2,6,Full,CampsitePermit,Tents,8/6/2016,8/7/2016,1,1
Thomas Raddall,ON ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,8/24/2016,8/25/2016,1,1
The Islands,QC ,CANADA ,3,1,4,Full,CampsitePermit,Less than 20ft,7/27/2016,7/31/2016,4,1
Boylston,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/18/2016,6/19/2016,1,1
Graves Island,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 20ft,8/5/2016,8/7/2016,2,1
Caribou Munroes,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/30/2016,8/31/2016,1,1
Caribou Munroes,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,7/21/2016,7/23/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/19/2016,8/21/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,5/20/2016,5/22/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 30ft,7/8/2016,7/10/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,6/15/2016,6/17/2016,2,1
Mira River,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/12/2016,8/14/2016,2,1
Rissers Beach,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 20ft,6/30/2016,7/3/2016,3,1
Graves Island,NS ,CANADA ,1,1,2,Full,CampsitePermit,Less than 30ft,7/15/2016,7/17/2016,2,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,6/19/2016,6/21/2016,2,1
Smileys,NS ,CANADA ,2,3,5,Senior,CampsitePermit,Less than 30ft,6/24/2016,6/26/2016,2,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,10/7/2016,10/10/2016,3,1
Thomas Raddall,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/20/2016,8/22/2016,2,1
Laurie,NS ,CANADA ,1,5,6,Full,CampsitePermit,Single Tent,8/26/2016,8/27/2016,1,1
Graves Island,NS ,CANADA ,4,,4,Full,CampsitePermit,Less than 30ft,8/5/2016,8/7/2016,2,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,8/13/2016,8/14/2016,1,1
Rissers Beach,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,5/21/2016,5/23/2016,2,1
Caribou Munroes,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,8/26/2016,8/28/2016,2,1
Five Islands,PE ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/29/2016,7/30/2016,1,1
Five Islands,ON ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/21/2016,8/23/2016,2,1
Cape Chignecto,ON ,CANADA ,4,,4,Full,BackcountryPermit,Cabin,7/5/2016,7/7/2016,2,1
Laurie,QC ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/14/2016,7/18/2016,4,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,9/16/2016,9/18/2016,2,1
Dollar Lake,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 20ft,6/18/2016,6/19/2016,1,1
Graves Island,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,7/14/2016,7/17/2016,3,1
Dollar Lake,NS ,CANADA ,6,,6,Full,CampsitePermit,Single Tent,6/10/2016,6/11/2016,1,1
Five Islands,NS ,CANADA ,2,,2,Senior,CampsitePermit,Single Tent,7/20/2016,7/21/2016,1,1
Blomidon,NB ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,5/20/2016,5/23/2016,3,1
Laurie,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 30ft,8/5/2016,8/7/2016,2,1
